Timestamp,Player IGN,CM Group,Kitasan Black LB in Account (Non-borrow),Super Creek LB in Account (Non-borrow),Select a round to fill data,R1D1 - Uma 1,R1D1 - Uma 1 Role,R1D1 - Uma 1 Running Style,R1D1 - Uma 2,R1D1 - Uma 2 Role,R1D1 - Uma 2 Running Style,R1D1 - Uma 3,R1D1 - Uma 3 Role,R1D1 - Uma 3 Running Style,R1D1 - No. of wins,R1D1 - No. of races played,R1D2 - Uma 1,R1D2 - Uma 1 Role,R1D2 - Uma 1 Running Style,R1D2 - Uma 2,R1D2 - Uma 2 Role,R1D2 - Uma 2 Running Style,R1D2 - Uma 3,R1D2 - Uma 3 Role,R1D2 - Uma 3 Running Style,R1D2 - No. of wins,R1D2 - No. of races played,Round 2 Group,R2D1 - Uma 1,R2D1 - Uma 1 Role,R2D1 - Uma 1 Running Style,R2D1 - Uma 2,R2D1 - Uma 2 Role,R2D1 - Uma 2 Running Style,R2D1 - Uma 3,R2D1 - Uma 3 Role,R2D1 - Uma 3 Running Style,R2D1 - No. of wins,R2D1 - No. of races played,R2D2 - Uma 1,R2D2 - Uma 1 Role,R2D2 - Uma 1 Running Style,R2D2 - Uma 2,R2D2 - Uma 2 Role,R2D2 - Uma 2 Running Style,R2D2 - Uma 3,R2D2 - Uma 3 Role,R2D2 - Uma 3 Running Style,R2D2 - No. of wins,R2D2 - No. of races played,Finals Group,FINALS - Uma 1,FINALS - Uma 1 Role,FINALS - Uma 1 Running Style,FINALS - Uma 2,FINALS - Uma 2 Role,FINALS - Uma 2 Running Style,FINALS - Uma 3,FINALS - Uma 3 Role,FINALS - Uma 3 Running Style,FINALS RESULTS,How much have you spent on the game so far? (EUR/USD),R1D1 - Uma 1 Role (Norm),R1D1 - Uma 2 Role (Norm),R1D1 - Uma 3 Role (Norm),R1D2 - Uma 1 Role (Norm),R1D2 - Uma 2 Role (Norm),R1D2 - Uma 3 Role (Norm),R2D1 - Uma 1 Role (Norm),R2D1 - Uma 2 Role (Norm),R2D1 - Uma 3 Role (Norm),R2D2 - Uma 1 Role (Norm),R2D2 - Uma 2 Role (Norm),R2D2 - Uma 3 Role (Norm),FINALS - Uma 1 Role (Norm),FINALS - Uma 2 Role (Norm),FINALS - Uma 3 Role (Norm),R1D1 - Uma 1 Running Style (Norm),R1D1 - Uma 2 Running Style (Norm),R1D1 - Uma 3 Running Style (Norm),R1D2 - Uma 1 Running Style (Norm),R1D2 - Uma 2 Running Style (Norm),R1D2 - Uma 3 Running Style (Norm),R2D1 - Uma 1 Running Style (Norm),R2D1 - Uma 2 Running Style (Norm),R2D1 - Uma 3 Running Style (Norm),R2D2 - Uma 1 Running Style (Norm),R2D2 - Uma 2 Running Style (Norm),R2D2 - Uma 3 Running Style (Norm),FINALS - Uma 1 Running Style (Norm),FINALS - Uma 2 Running Style (Norm),FINALS - Uma 3 Running Style (Norm)
2025-10-30 05:42:28.475,Pharaday ,Graded (No Limit),MLB,2LB,End Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN,$1000++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 21:55:35.958,Ryan,Graded (No Limit),1LB,,End Survey,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,16.0,20.0,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,15.0,20.0,A,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,13.0,20.0,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,14.0,20.0,A,Seiun Sky,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mejiro Ryan,Aoharu Made Ace,Late Surger,2ND,F2P,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Front Runner,Pace Chaser,End Closer,Front Runner,Pace Chaser,End Closer,Front Runner,Pace Chaser,End Closer,Front Runner,Pace Chaser,End Closer,Front Runner,Pace Chaser,Late Surger
2025-10-28 21:03:08.629,Ramen,Graded (No Limit),3LB,,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Grass Wonder,Hybrid,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,18.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Grass Wonder,Hybrid,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,16.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Grass Wonder,Hybrid,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,13.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Grass Wonder,Hybrid,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,14.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Grass Wonder,Hybrid,Late Surger,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,1ST,$1-$100,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Front Runner,Late Surger,End Closer,Front Runner,Late Surger,End Closer,Front Runner,Late Surger,End Closer,Front Runner,Late Surger,End Closer,Front Runner,Late Surger,End Closer
2025-10-28 17:32:17.479,Jackenstein,Graded (No Limit),,0LB,End Survey,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,11.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,16.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,11.0,20.0,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,11.0,20.0,A,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,1ST,F2P,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer
2025-11-09 12:23:05.233,Cien,Graded (No Limit),3LB,0LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Grass Wonder,Debuffer,End Closer,Symboli Rudolf,Debuffer,End Closer,17.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,End Closer,Grass Wonder,Debuffer,End Closer,18.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,End Closer,Grass Wonder,Debuffer,End Closer,14.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,End Closer,Grass Wonder,Debuffer,End Closer,16.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Symboli Rudolf,Debuffer,End Closer,Grass Wonder,Debuffer,End Closer,1ST,$101-$500,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Ace,Debuffer,Debuffer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer
2025-11-07 06:33:10.482,Tempy,Graded (No Limit),1LB,3LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Debuffer,End Closer,10.0,15.0,,,,,,,,,,,,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Debuffer,End Closer,10.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Tokai Teio (Anime Collab),"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Mayano Top Gun (Wedding),Debuffer,End Closer,11.0,15.0,,,,,,,,,,,NAN,$101-$500,Ace,Ace,Debuffer,,,,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,Pace Chaser,Pace Chaser,End Closer,,,,Pace Chaser,Pace Chaser,End Closer,Pace Chaser,Pace Chaser,End Closer,,,
2025-11-09 12:52:55.966,Bacon,Graded (No Limit),MLB,MLB,End Survey,Air Groove,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,Symboli Rudolf,Debuffer,Front Runner,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,14.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,Front Runner,Air Groove,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,15.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,Front Runner,Air Groove,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,16.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,Front Runner,Air Groove,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,17.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Symboli Rudolf,Debuffer,Front Runner,Air Groove,"Ace (Winner, Tanks, Recycled Aces)",Late Surger,1ST,$1000++,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Late Surger,Front Runner,Front Runner,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger,Front Runner,Front Runner,Late Surger
2025-11-07 21:14:39.612,Zenon,Graded (No Limit),MLB,0LB,End Survey,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Smart Falcon,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,16.0,20.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Smart Falcon,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,12.0,20.0,A,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Smart Falcon,"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,10.0,15.0,Maruzensky (Summer),"Ace (Winner, Tanks, Recycled Aces)",Front Runner,Smart Falcon,Aoharu Made Ace,Front Runner,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,16.0,20.0,A,Maruzensky (Summer),Aoharu Made Ace,Front Runner,Smart Falcon,Aoharu Made Ace,Front Runner,Gold Ship,Aoharu Made Ace,End Closer,1ST,F2P,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Ace,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer,Front Runner,Front Runner,End Closer
2025-11-10 05:16:59.390,MT,Graded (No Limit),MLB,2LB,End Survey,Nice Nature,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,Debuffer,End Closer,16.0,20.0,Nice Nature,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Agnes Tachyon,Debuffer,End Closer,14.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,A,Nice Nature,Aoharu Made Ace,Late Surger,Agnes Tachyon,Debuffer,End Closer,Grass Wonder,Debuffer,End Closer,1ST,$1-$100,Ace,Ace,Debuffer,Ace,Ace,Debuffer,,,,,,,Ace,Debuffer,Debuffer,Pace Chaser,End Closer,End Closer,Pace Chaser,End Closer,End Closer,,,,,,,Late Surger,End Closer,End Closer
2025-11-09 08:27:51.049,dontsayline,Graded (No Limit),MLB,1LB,End Survey,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,Debuffer,Late Surger,18.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,Debuffer,Late Surger,18.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,Debuffer,Late Surger,14.0,20.0,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,Debuffer,Late Surger,14.0,20.0,A,Oguri Cap,"Ace (Winner, Tanks, Recycled Aces)",Pace Chaser,Gold Ship,"Ace (Winner, Tanks, Recycled Aces)",End Closer,Symboli Rudolf,Debuffer,Late Surger,3RD,$1000++,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Ace,Ace,Debuffer,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger,Pace Chaser,End Closer,Late Surger
